transaction_id,transaction_datetime,amount,status,transaction_type,customer_id,platform_id,invoice_id
TXN001,2024-06-01 10:00:00,38940,Pendiente,Pago de Factura,1,1,1
TXN002,2024-07-09 12:00:00,75145,Pendiente,Pago de Factura,2,2,2
TXN003,2024-06-13 10:00:00,179217,Fallida,Pago de Factura,3,2,3
TXN004,2024-07-26 13:00:00,51767,Fallida,Pago de Factura,4,2,4
TXN005,2024-07-28 06:00:00,156501,Completada,Pago de Factura,5,2,5
TXN006,2024-07-16 21:00:00,32428,Completada,Pago de Factura,6,1,6
TXN007,2024-07-26 22:00:00,75301,Pendiente,Pago de Factura,7,2,7
TXN008,2024-06-17 16:00:00,16870,Pendiente,Pago de Factura,8,1,8
TXN009,2024-07-10 23:00:00,21794,Fallida,Pago de Factura,9,1,9
TXN010,2024-06-19 23:00:00,193307,Completada,Pago de Factura,10,2,10
TXN011,2024-06-01 06:00:00,159093,Completada,Pago de Factura,11,2,11
TXN012,2024-07-12 19:00:00,174518,Pendiente,Pago de Factura,12,1,12
TXN013,2024-07-04 12:00:00,110254,Fallida,Pago de Factura,13,2,13
TXN014,2024-07-12 04:00:00,162283,Pendiente,Pago de Factura,14,1,14
TXN015,2024-06-21 12:00:00,22161,Pendiente,Pago de Factura,15,2,15
TXN016,2024-07-08 12:00:00,195775,Pendiente,Pago de Factura,16,2,16
TXN017,2024-06-27 03:00:00,20824,Fallida,Pago de Factura,17,1,17
TXN018,2024-07-09 05:00:00,191134,Completada,Pago de Factura,18,1,18
TXN019,2024-06-16 20:00:00,62979,Completada,Pago de Factura,19,2,19
TXN020,2024-06-08 22:00:00,36472,Fallida,Pago de Factura,20,2,20
TXN021,2024-06-16 06:00:00,127881,Completada,Pago de Factura,21,1,21
TXN022,2024-07-30 03:00:00,26317,Fallida,Pago de Factura,22,2,22
TXN023,2024-07-27 01:00:00,147364,Pendiente,Pago de Factura,23,1,23
TXN024,2024-06-26 01:00:00,153404,Pendiente,Pago de Factura,24,2,24
TXN025,2024-07-07 10:00:00,14210,Completada,Pago de Factura,25,1,25
TXN026,2024-06-08 19:00:00,49012,Completada,Pago de Factura,26,2,26
TXN027,2024-06-28 06:00:00,40302,Fallida,Pago de Factura,27,2,27
TXN028,2024-07-03 01:00:00,27833,Pendiente,Pago de Factura,28,2,28
TXN029,2024-07-29 02:00:00,30313,Fallida,Pago de Factura,29,1,29
TXN030,2024-07-26 20:00:00,134884,Fallida,Pago de Factura,30,2,30
TXN031,2024-07-03 10:00:00,28982,Completada,Pago de Factura,31,1,31
TXN032,2024-06-15 17:00:00,158030,Pendiente,Pago de Factura,32,1,32
TXN033,2024-06-24 08:00:00,196009,Fallida,Pago de Factura,33,2,33
TXN034,2024-06-22 17:00:00,68526,Pendiente,Pago de Factura,34,2,34
TXN035,2024-06-23 12:00:00,165287,Completada,Pago de Factura,35,1,35
TXN036,2024-06-28 11:00:00,178265,Fallida,Pago de Factura,36,1,36
TXN037,2024-07-23 18:00:00,98069,Completada,Pago de Factura,37,1,37
